Jurisdiction,Effective date,Licensed sales since,Legalization method
Washington (state),"December 6, 2012","July 8, 2014",Initiated ballot measure
Colorado,"December 10, 2012","January 1, 2014",Initiated ballot measure
Alaska,"February 24, 2015","October 29, 2016",Initiated ballot measure
"Washington, D.C.","February 26, 2015",Never authorized,Initiated ballot measure
Oregon,"July 1, 2015","October 1, 2015",Initiated ballot measure
California,"November 9, 2016","January 1, 2018",Initiated ballot measure
Massachusetts,"December 15, 2016","November 20, 2018",Initiated ballot measure
Nevada,"January 1, 2017","July 1, 2017",Initiated ballot measure
Maine,"January 30, 2017","October 9, 2020",Initiated ballot measure
Vermont,"July 1, 2018","October 1, 2022",Legislative bill
Northern Mariana Islands,"September 21, 2018","July 16, 2021",Legislative bill
Michigan,"December 6, 2018","December 1, 2019",Initiated ballot measure
Guam,"April 4, 2019",Not yet started,Legislative bill
Illinois,"January 1, 2020","January 1, 2020",Legislative bill
Arizona,"November 30, 2020","January 22, 2021",Initiated ballot measure
Montana,"January 1, 2021","January 1, 2022",Initiated ballot measure
New Jersey,"February 22, 2021","April 21, 2022",Legislatively referred ballot measure
New York,"March 31, 2021","December 29, 2022",Legislative bill
New Mexico,"June 29, 2021","April 1, 2022",Legislative bill
Connecticut,"July 1, 2021","January 10, 2023",Legislative bill
Virginia,"July 1, 2021",Never authorized,Legislative bill
Rhode Island,"May 25, 2022","December 1, 2022",Legislative bill
Missouri,"December 8, 2022","February 3, 2023",Initiated ballot measure
United States Virgin Islands,"January 18, 2023",Not yet started,Legislative bill
Delaware,"April 23, 2023",Not yet started,Legislative bill
Maryland,"July 1, 2023","July 1, 2023",Legislatively referred ballot measure
Minnesota,"August 1, 2023",Not yet started,Legislative bill
Ohio,"December 7, 2023",Not yet started,Initiated ballot measure
